City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Muana,BR,88.83,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
3,Rikitea,PF,70.99,broken clouds,-23.1203,-134.9692,People ThankYou
4,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Nova Vicosa,BR,79.63,scattered clouds,-17.8919,-39.3719,Pousada Porto do Sol
16,Angoche,MZ,73.13,clear sky,-16.2325,39.9086,Guest House HESADA
20,Bang Saphan,TH,78.44,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
29,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
32,Mae Ramat,TH,77.79,light rain,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
33,San Francisco,US,77.02,broken clouds,37.7749,-122.4194,Edwardian Hotel
34,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
36,Guerrero Negro,MX,78.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
37,Lagarto,BR,80.87,clear sky,-10.9172,-37.65,Pousada Cota
38,Katsuura,JP,71.98,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
41,Lata,PT,83.48,clear sky,40.1629,-8.3327,Casa Maquia
42,Petrovsk,RU,71.58,broken clouds,52.3064,45.3917,Scarlet Sails
45,Versalles,FR,77.83,clear sky,48.8,2.1333,Waldorf Astoria Versailles - Trianon Palace
46,Nanakuli,US,75.04,clear sky,21.3906,-158.1547,Camp Pālehua
48,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Jamestown,US,86.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
50,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
61,Presidencia Roque Saenz Pena,AR,70.7,clear sky,-26.7852,-60.4388,Hotel Gualok
62,Buala,SB,78.78,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
65,Melfi,IT,74.1,scattered clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
68,Atuona,PF,77.07,broken clouds,-9.8,-139.0333,Villa Enata
70,Anagni,IT,89.04,scattered clouds,41.7447,13.1527,Hotel Città Dei Papi
73,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
76,Wajir,KE,80.56,broken clouds,1.7471,40.0573,Mahatallah Hotel
84,Ponta Do Sol,PT,80.71,clear sky,32.6667,-17.1,Hotel do Campo
85,Alibag,IN,80.67,light rain,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
86,Tocache,PE,85.35,overcast clouds,-8.1842,-76.5125,Residencial JATER
88,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
89,Lorengau,PG,79.03,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
90,Muros,ES,84.16,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
91,Nikolskoye,RU,78.69,clear sky,59.7035,30.7861,Tourist House - Sablino
93,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
96,Isangel,VU,75.27,broken clouds,-19.55,169.2667,Tanna Lodge
99,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
100,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
101,Nhulunbuy,AU,72.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
105,Bandarbeyla,SO,76.41,clear sky,9.4942,50.8122,JABIR HOTEL
107,Moerai,PF,71.35,overcast clouds,-22.4333,-151.3333,Le Manotel
108,Portland,US,72.75,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
109,Labuhan,ID,74.62,broken clouds,-6.8844,112.2051,DoubleFAG
112,Saint George,US,88.63,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
113,Samarai,PG,79.36,overcast clouds,-10.6167,150.6667,Nuli Sapi
116,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
117,Savona,IT,84.63,clear sky,44.3,8.2667,B&B Le Stanze del Moro
119,Gweta,BW,71.71,clear sky,-20.1833,25.2333,Gweta Lodge
120,Sao Filipe,CV,78.1,broken clouds,14.8961,-24.4956,Hotel Xaguate
121,Tual,ID,79.93,light rain,-5.6667,132.75,Grand Vilia Hotel
123,Carutapera,BR,84.92,scattered clouds,-1.195,-46.02,Lidera
126,Ponerihouen,NC,71.83,broken clouds,-21.0833,165.4,Camping de Tiakan
127,Ca Mau,VN,78.06,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
129,Cedar City,US,70.77,broken clouds,37.6775,-113.0619,Hampton Inn Cedar City
131,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
137,Kendari,ID,72.14,few clouds,-3.945,122.4989,Hotel Wixel
138,Kahului,US,80.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
141,Aguilas,ES,85.5,light rain,37.4063,-1.5829,Hotel Carlos III
144,Calafell,ES,86.32,light rain,41.2,1.5683,Le Méridien Ra Beach Hotel & Spa
145,El Dorado,US,75.63,overcast clouds,38.7666,-120.5177,South Fork Group Campground
146,Safaga,EG,88.79,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
147,Itarema,BR,84.56,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
154,Touros,BR,80.24,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
155,Lagoa,PT,75.85,light rain,39.05,-27.9833,Casa Das Faias
159,Eyl,SO,77.04,clear sky,7.9803,49.8164,Amiin Hotel
160,Bambous Virieux,MU,70.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
163,Hami,CN,84.6,broken clouds,42.8,93.45,Laoyutang Resort
166,Biak,ID,75.09,broken clouds,-0.9131,122.8766,Penginapan Kim
168,Bengkulu,ID,74.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
169,Alyangula,AU,73.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
174,Cartagena Del Chaira,CO,72.81,light rain,1.3349,-74.8429,HOTEL LA ROCA
175,Sebezh,RU,71.46,scattered clouds,56.2955,28.4654,Диалог-хостел
176,Dingle,PH,75.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
177,Napasar,IN,89.55,overcast clouds,27.9667,73.55,Laxmi Palace
178,San Quintin,MX,75.72,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
179,Tripoli,LY,83.21,clear sky,32.8752,13.1875,Al Waddan Hotel
184,Kollam,IN,76.21,light rain,8.8833,76.6,The Raviz Ashtamudi
185,Huilong,CN,87.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
186,Fortuna,US,72.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
191,Noumea,NC,73.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
194,Faanui,PF,77.95,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
195,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
196,Makurdi,NG,78.55,overcast clouds,7.7411,8.5121,Doo Palace Hotel
197,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Salinopolis,BR,83.37,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
204,Vila,PT,80.71,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
205,Koumac,NC,71.47,clear sky,-20.5667,164.2833,Le Monitel
208,Half Moon Bay,US,77.92,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
209,Krasnotorka,UA,74.25,overcast clouds,48.682,37.5327,Pansionat Paradiz
211,Kavieng,PG,80.83,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
214,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
216,Sabirabad,AZ,84.16,scattered clouds,40.0095,48.4752,Mugan Park Hotel
217,Praya,CV,84.74,broken clouds,14.9215,-23.5087,LT Aparthotel
218,Dhidhdhoo,MV,80.17,overcast clouds,6.8833,73.1,Dhidhoo beach
226,San Pedro De Ycuamandiyu,PY,79.16,clear sky,-24.0917,-57.0764,Hotel Refugio
227,Umm Lajj,SA,89.82,few clouds,25.0213,37.2685,Moon light Furnished Units
229,Los Llanos De Aridane,ES,73.15,few clouds,28.6585,-17.9182,Valle Aridane
230,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
232,Santa Marta,CO,87.85,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
234,Butaritari,KI,81.72,broken clouds,3.0707,172.7902,Isles Sunset Lodge
235,Vila Velha,BR,89.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
236,Shingu,JP,76.69,few clouds,33.7333,135.9833,Shingu UI Hotel
242,Elizabeth City,US,89.6,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
244,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
246,Dawlatabad,AF,82.87,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
252,Djambala,CG,77.59,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
253,Torbay,CA,86.88,scattered clouds,47.6666,-52.7314,Gallows Cove
259,Sakaiminato,JP,78.78,scattered clouds,35.55,133.2333,Italian pasley
262,Hamilton,US,81.9,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
263,Ribeira Grande,PT,81.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
265,Pestravka,RU,73.36,scattered clouds,52.405,49.9583,"Gostinitsa ""Germes"""
268,Teknaf,BD,79.86,overcast clouds,20.8624,92.3058,Forestry Guesthouse
270,Yanliang,CN,85.19,clear sky,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
271,Namatanai,PG,77.79,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
276,Kant,IN,87.98,broken clouds,27.8,79.8,Sumit Verma
281,Panzhihua,CN,71.15,broken clouds,26.5851,101.7128,Electric Power Hotel
282,Axim,GH,75.49,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
285,Nisia Floresta,BR,86.38,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
293,Vung Tau,VN,79.61,overcast clouds,10.346,107.0843,Seaside Resort
295,Caravelas,BR,79.25,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
297,Phonhong,LA,75.61,overcast clouds,18.5007,102.4166,Manyvong Guest House
307,Koungheul,SN,83.89,overcast clouds,13.9833,-14.8,Statation petrodis
308,La Reforma,MX,88.97,overcast clouds,25.0833,-108.05,Hotel Reforma
309,Susanville,US,78.8,scattered clouds,40.4163,-120.653,Comfort Inn & Suites
312,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
313,Yagoua,CM,76.59,broken clouds,10.3411,15.2329,Sahel Hotel
314,Carsamba,TR,78.78,broken clouds,41.1989,36.7219,Carsamba Ogretmenevi
315,Sur,OM,85.24,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
317,Khangarh,PK,89.67,overcast clouds,29.9173,71.1618,خلیل پکوان سنٹر
318,Corn Island,NI,78.33,overcast clouds,12.1694,-83.0418,Big Fish Guest House
320,Qui Nhon,VN,78.85,overcast clouds,13.7667,109.2333,Seagull Hotel
325,Atambua,ID,70.23,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
326,Mahe,IN,76.48,heavy intensity rain,11.7,75.5333,Mahi Midas Sea View Hotel
330,Guaiuba,BR,85.82,clear sky,-4.0397,-38.6372,C.T DO JUVENTUS
331,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,Scoop Guest House
334,Laguna,US,77.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
335,Tautira,PF,76.48,light rain,-17.7333,-149.15,Pension Oaoa
336,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
337,Pacific Grove,US,72.41,scattered clouds,36.6177,-121.9166,Lovers Point Inn
338,San Policarpo,PH,77.92,overcast clouds,12.1791,125.5072,Agapita M. Nicart
341,Licheng,CN,76.23,overcast clouds,23.2955,113.8284,Xincheng Tourism Industry
342,Lazaro Cardenas,MX,86.58,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
344,Lompoc,US,73.54,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
346,Goderich,CA,84.52,clear sky,43.7501,-81.7165,Harmony Inn
347,La Seyne-Sur-Mer,FR,87.64,clear sky,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
348,Maua,BR,74.75,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
355,Ville-Marie,CA,76.44,few clouds,47.3335,-79.433,La Bannik
357,Cubuk,TR,83.95,few clouds,40.2386,33.0322,Çubuk Öğretmenevi
358,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
359,Taraz,KZ,73.81,broken clouds,42.9,71.3667,Comfort Inn
364,Pathein,MM,76.91,light rain,16.7833,94.7333,Pathein Hotel
365,Shangrao,CN,82.04,scattered clouds,28.4532,117.9686,Boyue boutique Hotel
366,Komsomolskiy,UZ,80.87,broken clouds,40.4272,71.7189,Ikathouse
368,Nantucket,US,84.34,few clouds,41.2835,-70.0995,Jared Coffin House
369,Yining,CN,78.06,scattered clouds,29.0361,114.5636,Xiushui Hotel
372,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
